#混合基金
#2021-08-04
#ID     名字                            波动率  夏普率  最大回撤      基金累计净值最大值    基金成立时间    单笔投最小本金               
#上等马
001532  华安文体健康混合                21.88   2.03    26.41         3.7580                2017-06-08      200
750001  安信灵活配置混合                18.53   1.1     35.24         3.487                 2012-06-20      200


#中等马
166019  中欧价值智选混合A               19.49   1.01    42.48         5.2050                2013-05-14      150
001667  南方转型混合                    19.23   1.75    37.99         2.0450                2016-08-17      150
540003  汇丰晋信动态策略混合A           19.34   1.12    53.16         5.4512                2007-04-09      150
090018  大成新锐产业混合                21.04   1.16    45.28         6.0310                2012-03-20      150        
002943  广发多因子混合                  23.89   1.75    23.89         3.5630                2016-12-30      150
002340  富国价值优势混合                21.86   1.21    32.22         4.0700                2016-04-08      150
001216  易方达新收益混合A               16.40   1.65    21.54         4.5470                2015-04-17      150
001856  易方达环保主题混合              24.48   1.98    21.56         4.1360                2017-06-02      150
165516  信诚周期轮动混合(LOF)           22.41   1.21    33.23         7.4050                2012-05-07      150
519133  海富通改革驱动混合              21.23   1.19    30.45         3.4090                2016-04-28      150
673060  西部利得景瑞灵活配置混合A       23.44   1.92    15.84         3.0430                2016-08-25      150
001716  工银新趋势灵活配置混合A         16.76   1.61    21.07         4.0180                2015-12-15      150
001140  工银总回报灵活配置混合A         
570008  诺德周期策略混合                22.19   1.10    31.12         5.5270                2012-03-21      150


#下等马
519150  新华优选消费混合                19.95   1.01    25.17         5.0955                2012-06-13       100    

#股票基金
#2021-08-18
#ID     名字                            波动率  夏普率  最大回撤      基金累计净值最大值    基金成立时间    单笔投最小本金               
#上等马
001718  工银物流产业股票                19.30   1.25    24.81         3.7660                2016--03-01     200

#中等马
001644  汇丰晋信智造先锋股票C           26.40   1.09    31.88         4.0738                2015-09-30      150
001054  工银新金融股票                  20.37   1.14    28.56         3.3500                2015-03-19      150
000991  工银战略转型股票A               20.14   1.30    31.96         3.7030                2015-02-16      150

#下等马
519714  交银消费新驱动股票              20.56   1.10    23.32         5.5030                2012-11-07      100
005968  创金合信工业周期股票A           29.01   1.76    29.29         3.9148                2018-05-17      100      







