#混合基金
#2021-10-14
#ID        名字                               波动率  夏普率  最大回撤     基金成立时间    单笔投最小本金   
001532  华安文体健康混合              21.99   2.21    26.41        2017-06-08      100
090018  大成新锐产业混合              21.04   1.31    45.28        2012-03-20      100
002943  广发多因子混合                 23.89   2.05    23.67        2016-12-30      100
540003  汇丰晋信动态策略混合A      19.34   1.12    53.16        2007-04-09      100
000547  建信健康民生混合              19.11   1.25    29.93        2014-03-21      100
005821  万家新机遇龙头企业混合     23.83   1.84    19.23        2018-05-25      100
750001  安信灵活配置混合              18.53   1.14    35.44        2012-06-20      100

#股票基金
#2021-10-14
#ID     名字                                 波动率  夏普率  最大回撤    基金成立时间    单笔投最小本金
008763   天弘越南市场股票QDII A  21.41   2.22    13.50         2020-01-20     100
001718  工银物流产业股票             19.30   1.25    24.81       2016-03-01      100
000991  工银战略转型股票A           20.14   1.30    52.59       2015-02-16      100

#指数


#债券







