日期              分数              系数          评价
1                 -1400             -0.97         完全放逸
2                 -1440             -1.0          完全放逸
3                 -1440             -1.0          完全放逸
4                 -1440             -1.0          完全放逸
5                  847               0.59         适度放逸
6                  857               0.59         适度放逸
7                  834               0.57         适度放逸
8                 -1285             -0.89         重度放逸
9                  1343              0.93         优秀
10                 1363              0.94         优秀
11                 731               0.50         适度放逸
12                 1329              0.92         优秀
13                 1431              0.99         优秀
14                -1440             -1.0          完全放逸
15                -1440             -1.0          完全放逸
16                 757               0.52         适度放逸
17                 668               0.46         适度放逸
18                 437               0.30         适度放逸
19                 380               0.26         适度放逸
20                -246              -0.17         轻度放逸
21                                  -1.0          完全放逸
22                                  -1.0          完全放逸
23                 1316              0.91         优秀
24                 774               0.53         适度放逸
25                 363               0.25         适度放逸
26                 1025              0.71         中等
27                 730               0.50         适度放逸
28                 625               0.43         适度放逸
29                -1440             -1.0          完全放逸
30                 1274              0.88         良好
31  


